passengerId,longestRun
2068,33
4827,28
3173,27
288,26
2857,26
1240,25
5668,25
1337,24
3093,24
2717,24
1598,24
613,24
5332,24
1673,24
9441,24
3405,24
3180,23
1677,23
2437,23
798,23
5423,23
3078,23
391,23
350,23
4611,23
4034,23
1769,23
1581,22
6777,22
1651,22
435,22
6060,22
398,22
1464,22
4399,22
437,22
4552,22
3883,21
1818,21
905,21
5096,21
5012,21
5416,21
2969,21
3937,21
1246,21
888,21
662,21
2734,21
7810,21
2378,21
2867,21
1413,21
4200,21
7832,21
2511,21
859,21
139,21
4774,21
603,21
3309,21
4335,21
1315,20
10795,20
1158,20
2776,20
3153,20
4496,20
1482,20
7877,20
7209,20
4632,20
4329,20
6591,20
1074,20
366,20
92,20
4316,20
1143,20
1739,20
6805,20
2702,20
5198,20
6084,20
6001,20
64,20
975,20
4473,20
2684,20
3278,20
3608,20
993,20
4092,20
2939,20
1272,20
1321,20
2325,20
1276,20
6030,20
1822,20
5922,20
4451,20
4816,20
4395,20
6857,20
2544,19
8045,19
5977,19
9410,19
8121,19
1800,19
638,19
5787,19
4903,19
211,19
4379,19
1521,19
4082,19
2910,19
4016,19
392,19
5769,19
393,19
2681,19
5380,19
7508,19
9620,19
5711,19
311,19
5043,19
3343,19
8167,19
611,19
3436,19
274,19
5491,19
8007,19
135,19
1250,19
525,19
2518,19
8552,19
3665,19
813,19
4404,19
950,19
3837,19
5760,19
4178,19
3875,19
624,19
860,19
459,19
6548,19
4056,19
760,18
3367,18
6089,18
1342,18
1265,18
2869,18
4249,18
6987,18
2488,18
4675,18
3453,18
1828,18
1020,18
61,18
2861,18
5101,18
1242,18
4483,18
4700,18
920,18
3303,18
6064,18
3735,18
1343,18
2560,18
407,18
3297,18
4080,18
3615,18
2685,18
2537,18
5081,18
8704,18
8017,18
4744,18
1263,18
1451,18
1050,18
3409,18
7661,18
1333,18
5544,18
7770,18
2408,18
5278,18
264,18
7118,18
375,18
2789,18
8684,18
281,18
4854,18
6059,18
7837,18
7379,18
2065,18
4430,18
3483,18
9101,18
8821,18
6100,18
6027,18
5959,18
4441,18
2124,18
3292,18
968,18
2143,18
2747,18
199,18
4020,18
7243,18
9683,18
1849,18
3356,18
3117,18
2728,18
3071,18
6447,18
363,18
11450,18
2251,18
4969,18
8837,18
763,18
1444,18
4917,18
1678,18
6050,18
210,18
1288,18
4955,18
5073,18
364,18
5116,17
1454,17
3930,17
628,17
3317,17
10446,17
276,17
2231,17
6900,17
7726,17
1544,17
4543,17
3332,17
4097,17
8353,17
1046,17
1386,17
4607,17
1254,17
4070,17
3410,17
1992,17
3702,17
8642,17
6823,17
660,17
7505,17
9997,17
3169,17
5438,17
2773,17
5734,17
3889,17
3307,17
8964,17
456,17
1762,17
356,17
4983,17
6827,17
8036,17
721,17
1715,17
4069,17
3279,17
674,17
8609,17
2529,17
8290,17
6052,17
10461,17
3773,17
10083,17
1733,17
3123,17
5997,17
187,17
3631,17
3468,17
631,17
7551,17
8529,17
1029,17
8998,17
2911,17
4990,17
5775,17
2212,17
2550,17
226,17
4209,17
4580,17
5414,17
690,17
3913,17
7801,17
3112,17
5944,17
4641,17
5467,17
5015,17
1538,17
11198,17
2545,17
1218,17
8679,17
2975,17
1955,17
2030,17
446,17
5596,17
5490,17
2458,17
10767,17
1966,17
3171,17
8260,17
6882,17
4170,17
368,17
6003,17
4010,17
7747,17
6166,17
833,17
262,17
7433,17
664,17
5867,17
6874,17
1352,17
2485,17
4972,17
1378,17
4876,17
3924,17
972,17
6067,17
5136,16
479,16
2412,16
4852,16
4904,16
4339,16
10478,16
1591,16
269,16
8988,16
1078,16
5361,16
8981,16
4294,16
4247,16
7716,16
2575,16
5740,16
2432,16
11834,16
1613,16
2516,16
3880,16
3442,16
3029,16
6878,16
2501,16
6208,16
3919,16
6365,16
4551,16
7560,16
10046,16
8158,16
6523,16
10085,16
7581,16
3152,16
3851,16
5246,16
4307,16
9700,16
3361,16
2965,16
3492,16
2586,16
8289,16
248,16
5411,16
1311,16
2596,16
7565,16
3286,16
1423,16
8048,16
6043,16
3065,16
889,16
1740,16
8358,16
2653,16
7799,16
6339,16
5798,16
3963,16
5978,16
9063,16
3119,16
4012,16
8117,16
7318,16
1424,16
5464,16
2196,16
8132,16
4814,16
1539,16
6475,16
3802,16
2926,16
1202,16
360,16
5447,16
953,16
4004,16
11296,16
3491,16
2941,16
11011,16
4283,16
3519,16
3472,16
3077,16
335,16
3101,16
5325,16
3106,16
451,16
1801,16
2802,16
8556,16
2610,16
4009,16
